last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Locastro, Tim,641796,109,ARI,LF,27,28,,30.7
Turner, Trea,607208,120,WSH,SS,26,45,,30.6
Buxton, Byron,621439,142,MIN,CF,26,78,3.98,30.4
Gore, Terrance,605253,118,KC,LF,28,19,,30.2
Galloway, Isaac,543194,146,MIA,CF,30,20,4.14,30.1
Mondesi, Adalberto,609275,118,KC,SS,24,106,4.10,30.0
Berti, Jon,542932,146,MIA,3B,29,37,4.03,30.0
Straw, Myles,664702,117,HOU,CF,25,12,,29.8
Brito, Socrates,593647,141,TOR,RF,27,18,,29.8
Hampson, Garrett,641658,115,COL,2B,25,39,4.09,29.6
Hamilton, Billy,571740,118,KC,CF,29,79,3.93,29.6
Engel, Adam,641553,145,CWS,CF,28,20,,29.5
DeShields, Delino,592261,140,TEX,CF,27,43,4.18,29.5
Bishop, Braden,623323,136,SEA,CF,26,10,,29.5
Broxton, Keon,542979,110,BAL,CF,29,30,,29.5
Robles, Victor,645302,120,WSH,CF,22,82,4.20,29.5
Martin, Richie,621006,110,BAL,SS,25,68,4.26,29.5
Cordell, Ryan,641477,145,CWS,RF,27,31,4.21,29.4
Kiermaier, Kevin,595281,139,TB,CF,29,108,4.01,29.4
Rosario, Amed,642708,121,NYM,SS,24,102,4.15,29.3
Marisnick, Jake,545350,117,HOU,CF,28,56,4.18,29.3
Trout, Mike,545361,108,LAA,CF,28,78,4.30,29.2
Story, Trevor,596115,115,COL,SS,27,85,4.20,29.2
Bellinger, Cody,641355,119,LAD,RF,24,80,3.89,29.2
Mullins, Cedric,656775,110,BAL,CF,25,34,4.06,29.1
Bader, Harrison,664056,138,STL,CF,25,46,4.17,29.1
Smith, Mallex,605480,136,SEA,CF,26,80,4.02,29.1
Brinson, Lewis,621446,146,MIA,CF,25,31,4.21,29.1
Kingery, Scott,664068,143,PHI,CF,25,42,4.16,29.1
Acuna Jr., Ronald,660670,144,ATL,LF,22,82,4.24,29.0
Bourjos, Peter,488721,108,LAA,LF,32,11,,29.0
Gardner, Brett,458731,147,NYY,CF,36,82,4.04,29.0
Tatis Jr., Fernando,665487,135,SD,SS,20,47,4.15,29.0
Marte, Starling,516782,134,PIT,CF,31,107,4.18,29.0
Goodrum, Niko,592348,116,DET,LF,27,77,4.30,29.0
Hernandez, Teoscar,606192,141,TOR,LF,27,47,4.22,29.0
Gosselin, Phil,594838,143,PHI,SS,31,20,,29.0
Senzel, Nick,669222,113,CIN,CF,24,60,4.25,29.0
Mercado, Oscar,640458,114,CLE,RF,25,30,,29.0
Tilson, Charlie,605508,145,CWS,RF,27,42,,29.0
Shuck, JB,543776,134,PIT,LF,32,22,4.03,28.9
Allen, Greg,656185,114,CLE,LF,26,26,,28.9
Ramirez, Harold,623912,146,MIA,CF,25,55,,28.9
Wade, Tyler,642180,147,NYY,2B,25,24,4.15,28.8
Alfaro, Jorge,595751,146,MIA,C,26,66,4.31,28.8
McCutchen, Andrew,457705,143,PHI,LF,33,95,4.32,28.8
